timestamp,user_id,session_id,scenario_id,drill_id,rep_idx,bullets_n,rep_start_time,buzzer_start_time,shot_start_time,shot_resolved_time,object_id,object_type,score,valid_hit_recomputed,live_targets,center_x,center_y,center_z,hit_x,hit_y,hit_z,reaction_time_s,radial_error_m,target_row,trigger_press_duration_s,trigger_smoothness,gaze_target_angle_deg,gaze_stability_deg,pupil_diameter_mm,gaze_eye_used,quiet_eye_duration_s,quiet_eye_eye_used
20260601071951,234,2563,11634,001_TargetAcquisition_001,0,1,1780312509262,1780312516757,1780312519291,1780312519310,LINE_1/3/BODY/A,valid,5.0,True,LINE_1/3/BODY/*,0.0,1.1703794,4.993409,0.0242906827,1.24397039,4.98306942,2.534,0.0774962649113632,1.0,0.623,0.013938214992021586,1.4520451153790046,0.35701125930330324,6.169127349130434,right,1.0,right
20260601071951,234,2563,11634,002_TargetAcquisition_002,1,1,1780312522579,1780312526400,1780312528779,1780312528798,LINE_1/4/HEAD/A,valid,5.0,True,LINE_1/4/HEAD/*,1.40179992,1.55463123,4.993409,1.38074,1.54832315,4.983409,2.379,0.021984360434017518,1.0,0.79,0.011697745133475426,1.2729866263454208,0.3138652174925499,6.360176553478261,right,1.0,right
20260601071951,234,2563,11634,003_TargetAcquisition_003,2,1,1780312532477,1780312538017,1780312540298,1780312540317,LINE_1/2/BODY/C,valid,2.0,True,LINE_1/2/BODY/*,-1.4,1.1703794,4.993409,-1.44757557,1.22916567,4.983409,2.281,0.07562579190552514,1.0,0.489,0.013697394504860785,1.1919452923320493,0.4947183156357407,6.490537528000001,right,0.834,right
20260601071951,234,2563,11634,004_TargetAcquisition_004,3,1,1780312544096,1780312548419,1780312550364,1780312550384,LINE_1/1/BODY/C,valid,2.0,True,LINE_1/1/BODY/*,-2.8,1.1703794,4.993409,-2.79494262,1.2961247,4.983409,1.945,0.12584696088723948,1.0,0.644,0.01284865309427895,1.2033179071484839,0.3460460016151396,6.588591762391303,right,1.0,right
20260601071951,234,2563,11634,005_TargetAcquisition_005,4,1,1780312554819,1780312560241,1780312562916,1780312562935,LINE_1/5/HEAD/B,valid,4.0,True,LINE_1/5/HEAD/*,2.8018,1.55463123,4.993409,2.85442281,1.55082452,4.983409,2.675,0.05276031816924715,1.0,0.044,0.027781614609895214,1.3773090178985512,0.3882166692683261,6.563081736739129,right,1.0,right
20260601071951,234,2563,11634,006_TargetAcquisition_006,5,2,1780312566970,1780312571237,1780312573239,1780312573257,LINE_1/1/BODY/C,valid,2.0,True,LINE_1/1/BODY/*,-2.8,1.1703794,4.993409,-2.73889,1.19626856,4.983409,2.002,0.06636776857410208,1.0,0.423,0.04719091877087919,1.2417551648483172,0.2948343381723338,6.616988609555556,right,0.99,right
20260601071951,234,2563,11634,006_TargetAcquisition_006,5,2,1780312566970,1780312571237,1780312573458,1780312573476,LINE_1/1/BODY/A,valid,5.0,True,LINE_1/1/BODY/*,-2.8,1.1703794,4.993409,-2.80417466,1.18451369,4.98306942,2.221,0.014737908261340868,1.0,0.264,0.11332005987879074,1.349384859955087,0.2903243138395811,6.632893288936171,right,0.997,right
20260601071951,234,2563,11634,007_TargetAcquisition_007,6,1,1780312576682,1780312581014,1780312583127,1780312583147,LINE_1/5/HEAD/B,valid,4.0,True,LINE_1/5/HEAD/*,2.8018,1.55463123,4.993409,2.76529,1.50760484,4.983409,2.113,0.05953537987140191,1.0,0.734,0.010993975104776506,1.6332958559507402,0.4558827883641673,6.589789773409091,right,0.567,right
20260601071951,234,2563,11634,008_TargetAcquisition_008,7,1,1780312586859,1780312591600,1780312593378,1780312593397,LINE_1/3/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_1/3/HEAD/*,0.0,0.760731339,4.993409,0.114052311,1.58680809,4.98807,1.778,0.8339129020390298,1.0,0.633,0.014791079194115436,7.556346997141269,0.30041188466214225,6.586286710434782,right,0.0,right
20260601071951,234,2563,11634,009_TargetAcquisition_009,8,2,1780312597211,1780312603455,1780312605123,1780312605143,LINE_1/2/BODY/A,valid,5.0,True,LINE_1/2/BODY/*,-1.4,1.1703794,4.993409,-1.37686789,1.15912938,4.98306942,1.668,0.02572270326098131,1.0,0.356,0.03305258097470415,1.6163850315920962,0.2680048334708887,6.679137323111111,right,0.801,right
20260601071951,234,2563,11634,009_TargetAcquisition_009,8,2,1780312597211,1780312603455,1780312605320,1780312605330,LINE_1/2/BODY/C,valid,2.0,True,LINE_1/2/BODY/*,-1.4,1.1703794,4.993409,-1.32409871,1.1506021,4.983409,1.865,0.07843562595500915,1.0,0.53,0.10375482182775121,1.5414320458928654,0.27521484454466044,6.719353798478259,right,0.998,right
20260601071951,234,2563,11634,010_TargetAcquisition_010,9,1,1780312608487,1780312613155,1780312614900,1780312614918,LINE_1/1/HEAD/A,valid,5.0,True,LINE_1/1/HEAD/*,-2.7982,1.55463123,4.993409,-2.835604,1.54470372,4.983409,1.745,0.038699026742285134,1.0,0.445,0.022122781536001064,1.4464621867819518,0.27076040787200145,6.688380171521738,right,1.0,right
20260601071951,234,2563,11634,011_TargetAcquisition_011,10,2,1780312618132,1780312622385,1780312624463,1780312624493,LINE_2/3/BODY/D,valid,1.0,True,LINE_2/3/BODY/*,0.0,1.1703794,9.993409,-0.103107236,1.39761376,9.983409,2.078,0.2495326761772279,2.0,0.423,0.061112470630352356,1.7121052490262798,0.37607938429499416,6.721734794222222,right,0.523,right
20260601071951,234,2563,11634,011_TargetAcquisition_011,10,2,1780312618132,1780312622385,1780312624671,1780312624701,LINE_2/3/NO-SCORE/NO-SCORE,non-valid,0.0,False,LINE_2/3/BODY/*,0.0,0.760731339,9.993409,0.1580343,1.13885474,9.98807,2.286,0.4098196510177334,2.0,0.631,0.0945055255580836,1.5560898337124742,0.2929585250956545,6.724956060212769,right,0.675,right
